adaptation_action,aggregate_false_block_rate,attempt,avg_preemptions_normalized,avg_preemptions_random,avg_preemptions_raw_mb,base_mem_mb,blocked_event_total,completed,completion_rate,cpu_clip_events,dynamic_memory_emergency_pct,dynamic_memory_high_pct,dynamic_preempt_count_per_tick,emergency_signal_missing,emergency_ticks,evidence_id,false_block_reduction,fixed_workers,low_signal_dynamic,max_scheduler_wall_sec,mode,nonzero_exit_count,peak_gpu_memory_pct,peak_memory_pct,peak_swap_pct,per_gpu_false_block_rate,preempted_total,recovery_rate_normalized,recovery_rate_random,recovery_rate_raw_mb,retry_needed,retry_reason,safe_cases,scenario,scheduler_timeout_hit,seed,stalled_no_admission,started_total,submitted,task_count,task_duration_sec,threshold_bias,throughput_tps,tight_preempt_limit,trials,unfinished_tasks,wall_time_sec
,0.190476,,,,,,,,,,,,,,,P-04,0.190476,,,,,,,,,0.0,,,,,,,,per_gpu_affinity_admission_ablation,,,,,,,,,,,50,,
,0.333333,,,,,,,,,,,,,,,P-04-SCENARIO,0.333333,,,,,,,,,0.0,,,,,,,12,other_card_only,,,,,,,,,,,14,,
,0.0,,,,,,,,,,,,,,,P-04-SCENARIO,0.0,,,,,,,,,0.0,,,,,,,9,same_card_only,,,,,,,,,,,12,,
,0.5,,,,,,,,,,,,,,,P-04-SCENARIO,0.5,,,,,,,,,0.0,,,,,,,8,mixed_cards,,,,,,,,,,,10,,
,0.0,,,,,,,,,,,,,,,P-04-SCENARIO,0.0,,,,,,,,,0.0,,,,,,,13,no_planned_budget,,,,,,,,,,,14,,
,,,3.64,3.8,3.78,,,,,,,,,,,P-05,,,,,,,,,,,,1.0,1.0,1.0,,,,normalized_preemption_ablation,,,,,,,,,,,50,,
,,,3.54,3.82,3.76,,,,,,,,,,,P-05-TIGHT,,,,,,,,,,,,0.92,0.9,0.88,,,,normalized_preemption_ablation,,,,,,,,,,5,50,,
,,,,,,,,11,1.0,,,,,,,REAL-BASELINE,,,,,A_no_scheduler,0,25.0092,100.0,15.6,,,,,,,,,,,,,,11,,,,0.663,,,,16.5909
,,,,,,,,11,1.0,,,,,,,REAL-BASELINE,,,,,B_fixed_concurrency,0,25.0296,58.4,15.5,,,,,,,,,,,,,,11,,,,0.2774,,,,39.6565
,,,,,,,20,7,0.6364,1,,,,0,3,REAL-BASELINE,,,0,,C_dynamic_scheduler,0,25.0092,59.9,15.1,,1,,,,,,,,1,,0,11,11,,,,0.2152,,,0,32.5216
tighten_and_escalate,,1,,,,2048,0,8,,,82.0,76.0,1,1,0,REAL-BASELINE-ATTEMPT,,4,1,24.0,,,,,,,0,,,,1,low_signal_dynamic,,,0,20260211,,8,,8,6.0,0.0,,,,,
tighten_and_escalate,,2,,,,2560,0,8,,,72.0,67.0,1,1,0,REAL-BASELINE-ATTEMPT,,4,1,24.0,,,,,,,0,,,,1,low_signal_dynamic,,,1,20260248,,10,,10,8.0,-4.0,,,,,
tighten_and_escalate,,3,,,,3200,1,8,,,62.0,58.0,2,1,0,REAL-BASELINE-ATTEMPT,,4,0,24.0,,,,,,,0,,,,1,missing_emergency_signal,,,1,20260285,,12,,12,10.0,-8.0,,,,,
relax_and_hold,,4,,,,4000,518,2,,,53.0,50.0,2,0,7,REAL-BASELINE-ATTEMPT,,4,0,24.0,,,,,,,3,,,,1,insufficient_completion,,,1,20260322,,8,,11,12.0,-12.0,,,,,
stop,,5,,,,4000,20,7,,,60.0,56.0,3,0,3,REAL-BASELINE-ATTEMPT,,4,0,32.0,,,,,,,1,,,,0,satisfied,,,1,20260359,,11,,11,12.0,-4.0,,,,,
